Metabolite,pos_in_ppm,couple_code,J_constant,relative_intensity,overwrite_pos,overwrite_truncation,Include_multiplet
metabolite53,2.2175,-2,"2.1966,2.2385",0.0036,n,n,1
metabolite53,2.161,-2,"2.1255,2.1966",0.0014,n,n,1
metabolite53,2.0107,-2,"1.9740,2.0474",0.0009,n,n,1
metabolite53,1.959,-2,"1.9439,1.9740",0.0004,n,n,1
metabolite53,1.9349,-2,"1.9258,1.9439",0.0007,n,n,1
metabolite53,1.9158,-2,"1.9058,1.9258",0.0005,n,n,1
metabolite53,1.8856,-2,"1.8653,1.9058",0.0003,n,n,1
metabolite53,1.6758,-2,"1.6308,1.7209",0.0015,n,n,1
metabolite54,3.3729,-2,"3.3362,3.4096",0.0004,n,n,1
metabolite54,1.7824,-2,"1.7523,1.8124",0.0004,n,n,1
metabolite54,1.6256,-2,"1.5955,1.6556",0.0018,n,n,1
metabolite55,5.9066,-2,"5.8713,5.9418",0.0005,n,n,1
metabolite55,5.5217,-2,"5.4900,5.5534",0.0005,n,n,1
metabolite55,5.3377,-2,"5.3070,5.3685",0.0004,n,n,1
metabolite55,5.2858,-2,"5.2646,5.3070",0.0001,n,n,1
metabolite55,4.3785,-2,"4.3447,4.4124",0.0004,n,n,1
metabolite55,4.2529,-2,"4.2146,4.2913",0.0009,n,n,1
metabolite55,4.1967,-2,"4.1788,4.2146",0.0001,n,n,1
metabolite55,2.2318,-2,"2.2018,2.2619",0.0013,n,n,1
metabolite55,2.1618,-2,"2.1341,2.1894",0.0012,n,n,1
metabolite55,2.1162,-2,"2.0984,2.1341",0.0012,n,n,1
metabolite55,2.0784,-2,"2.0583,2.0984",0.0012,n,n,1
metabolite55,2.03,-2,"2.0016,2.0583",0.0013,n,n,1
metabolite56,7.5307,-2,"7.4956,7.5657",0.001,n,n,1
metabolite56,5.7989,-2,"5.7688,5.8289",0.0005,n,n,1
metabolite57,7.1806,-2,"7.1505,7.2106",0.0012,n,n,1
metabolite57,6.8929,-2,"6.8579,6.9280",0.0015,n,n,1
metabolite57,3.1932,-2,"3.1541,3.2323",0.0012,n,n,1
metabolite57,3.0685,-2,"3.0440,3.0931",0.0008,n,n,1
metabolite57,3.0247,-2,"3.0054,3.0440",0.0003,n,n,1
metabolite58,4.074,-2,"4.0363,4.1116",0.0014,n,n,1
metabolite58,3.3733,-2,"3.3481,3.3986",0.0017,n,n,1
metabolite58,3.3278,-2,"3.3076,3.3481",0.0006,n,n,1
metabolite58,3.1141,-2,"3.0692,3.1589",0.003,n,n,1
metabolite58,3.0221,-2,"2.9920,3.0521",0.0007,n,n,1
metabolite59,7.8569,-2,"7.8269,7.8869",0.0004,n,n,1
metabolite59,7.5569,-2,"7.5299,7.5838",0.0001,n,n,1
metabolite59,7.4785,-2,"7.4437,7.5133",0.0008,n,n,1
metabolite60,8.2399,-2,"8.2129,8.2668",0.0004,n,n,1
metabolite60,8.1865,-2,"8.1600,8.2129",0.0005,n,n,1
metabolite61,0.0003,-2,"-0.0297,0.0303",0.0036,n,n,1
