multiplets,pos_in_ppm,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
metabolite33,2.6384,2.64354,2.64781,2.64497,n,2.64544,2.64734,2.66585,2.64449,2.6573,2.64876
metabolite33,2.3698,n,n,n,n,n,n,n,n,n,n
metabolite33,2.3241,n,n,n,n,n,n,n,n,n,n
metabolite34,3.7475,n,n,n,n,n,n,n,n,n,n
metabolite34,1.5107,n,n,n,n,n,n,n,n,n,n
metabolite35,5.1731,n,n,n,n,n,n,n,n,n,n
metabolite35,3.9398,n,n,n,n,n,n,n,n,n,n
metabolite35,3.9036,n,n,n,n,n,n,n,n,n,n
metabolite35,3.8874,n,n,n,n,n,n,n,n,n,n
metabolite35,3.8673,n,n,n,n,n,n,n,n,n,n
metabolite35,3.8397,n,n,n,n,n,n,n,n,n,n
metabolite35,3.8006,n,n,n,n,n,n,n,n,n,n
metabolite35,3.737,n,n,n,n,n,n,n,n,n,n
metabolite35,3.6517,n,n,n,n,n,n,n,n,n,n
metabolite35,3.3752,n,n,n,n,n,n,n,n,n,n
metabolite36,5.2248,n,n,n,n,n,n,n,n,n,n
metabolite36,4.6376,n,n,n,n,n,n,n,n,n,n
metabolite36,3.8852,n,n,n,n,n,n,n,n,n,n
metabolite36,3.833,n,n,n,n,n,n,n,n,n,n
metabolite36,3.7625,n,n,n,n,n,n,n,n,n,n
metabolite36,3.7043,n,n,n,n,n,n,n,n,n,n
metabolite36,3.5361,n,n,n,n,n,n,n,n,n,n
metabolite36,3.4849,n,n,n,n,n,n,n,n,n,n
metabolite36,3.446,n,n,n,n,n,n,n,n,n,n
metabolite36,3.4208,n,n,n,n,n,n,n,n,n,n
metabolite36,3.3824,n,n,n,n,n,n,n,n,n,n
metabolite36,3.2375,n,n,n,n,n,n,n,n,n,n
metabolite37,3.8886,n,n,n,n,n,n,n,n,n,n
metabolite37,2.8255,n,n,n,n,n,n,n,n,n,n
metabolite37,2.7826,n,n,n,n,n,n,n,n,n,n
metabolite37,2.6684,n,n,n,n,n,n,n,n,n,n
metabolite38,4.1424,n,n,n,n,n,n,n,n,n,n
metabolite38,4.0987,n,n,n,n,n,n,n,n,n,n
metabolite38,4.0587,n,n,n,n,n,n,n,n,n,n
metabolite38,4.032,n,n,n,n,n,n,n,n,n,n
metabolite38,4.0091,n,n,n,n,n,n,n,n,n,n
metabolite38,3.9789,n,n,n,n,n,n,n,n,n,n
metabolite38,3.9341,n,n,n,n,n,n,n,n,n,n
metabolite38,3.8833,n,n,n,n,n,n,n,n,n,n
metabolite38,3.8302,n,n,n,n,n,n,n,n,n,n
metabolite38,3.7842,n,n,n,n,n,n,n,n,n,n
metabolite38,3.7446,n,n,n,n,n,n,n,n,n,n
metabolite38,3.7179,n,n,n,n,n,n,n,n,n,n
metabolite38,3.6903,n,n,n,n,n,n,n,n,n,n
metabolite38,3.6703,n,n,n,n,n,n,n,n,n,n
metabolite38,3.641,n,n,n,n,n,n,n,n,n,n
metabolite38,3.6066,n,n,n,n,n,n,n,n,n,n
metabolite38,3.584,n,n,n,n,n,n,n,n,n,n
metabolite38,3.563,n,n,n,n,n,n,n,n,n,n
metabolite38,3.5347,n,n,n,n,n,n,n,n,n,n
metabolite39,3.992,n,n,n,n,n,n,n,n,n,n
metabolite39,2.962,n,n,n,n,n,n,n,n,n,n
metabolite39,2.9189,n,n,n,n,n,n,n,n,n,n
metabolite39,2.8491,n,n,n,n,n,n,n,n,n,n
metabolite40,2.3786,n,n,n,n,n,n,n,n,n,n
metabolite40,2.3417,n,n,n,n,n,n,n,n,n,n
metabolite40,2.3005,n,n,n,n,n,n,n,n,n,n
metabolite40,2.1294,n,n,n,n,n,n,n,n,n,n
metabolite40,2.04,n,n,n,n,n,n,n,n,n,n
metabolite41,2.9963,n,n,n,n,n,n,n,n,n,n
metabolite41,2.4289,n,n,n,n,n,n,n,n,n,n
metabolite42,4.1233,n,n,n,n,n,n,n,n,n,n
metabolite42,3.4129,n,n,n,n,n,n,n,n,n,n
metabolite42,3.3269,n,n,n,n,n,n,n,n,n,n
metabolite42,2.3462,n,n,n,n,n,n,n,n,n,n
metabolite42,2.0245,n,n,n,n,n,n,n,n,n,n
metabolite43,5.1869,n,n,n,n,n,n,n,n,n,n
metabolite43,4.5685,n,n,n,n,n,n,n,n,n,n
metabolite43,3.9338,n,n,n,n,n,n,n,n,n,n
metabolite43,3.8967,n,n,n,n,n,n,n,n,n,n
metabolite43,3.6881,n,n,n,n,n,n,n,n,n,n
metabolite43,3.6214,n,n,n,n,n,n,n,n,n,n
metabolite43,3.5127,n,n,n,n,n,n,n,n,n,n
metabolite43,3.4243,n,n,n,n,n,n,n,n,n,n
metabolite43,3.3393,n,n,n,n,n,n,n,n,n,n
metabolite43,3.3133,n,n,n,n,n,n,n,n,n,n
metabolite43,3.2873,n,n,n,n,n,n,n,n,n,n
metabolite43,3.2513,n,n,n,n,n,n,n,n,n,n
metabolite43,3.2091,n,n,n,n,n,n,n,n,n,n
metabolite44,7.7282,n,n,n,n,n,n,n,n,n,n
metabolite44,7.5338,n,n,n,n,n,n,n,n,n,n
metabolite44,7.2759,n,n,n,n,n,n,n,n,n,n
metabolite44,7.1925,n,n,n,n,n,n,n,n,n,n
metabolite44,4.0508,n,n,n,n,n,n,n,n,n,n
metabolite44,3.5008,n,n,n,n,n,n,n,n,n,n
metabolite44,3.4584,n,n,n,n,n,n,n,n,n,n
